id,target,split
qmof-8a95c27,0.6325270000000001,train
qmof-019ba28,1.134232,test
qmof-830ed1c,0.345448,train
qmof-5bd4a24,0.342645,train
qmof-644aab4,1.973007,train
qmof-eaa4957,2.551117,train
qmof-ffa4c4a,1.222487,train
qmof-e813edb,1.360486,val
qmof-f364177,1.5001479999999998,train
qmof-d2e3fe6,1.810322,train
qmof-b5f254c,2.737229,train
qmof-dc01ec5,1.678626,test
qmof-de2f502,0.3607979999999999,val
qmof-85a8986,2.136836,train
qmof-780219c,1.93495,train
qmof-4d61b4b,1.899581,train
qmof-d382d2b,1.916827,train
qmof-bf35637,0.591402,train
qmof-7fb7872,1.911096,train
qmof-be4d084,1.916479,train
qmof-2b207a3,1.928707,train
qmof-96fb808,2.46286,train
qmof-61fda9f,0.9753149999999996,train
qmof-4e42f7a,0.387327,train
qmof-f287e67,2.0490440000000003,train
qmof-c930811,1.911832,train
qmof-07d3562,3.083551,train
qmof-9883029,2.679965,train
qmof-99e415f,4.54303,train
qmof-f224151,2.786405,train
qmof-8ee5683,2.578828,train
qmof-fb4e82f,2.847376,train
qmof-34d7993,0.960408,train
qmof-b1632e7,0.637679,test
qmof-40f119f,0.506677,test
qmof-d529df5,1.006881,val
qmof-96c06cd,0.2881169999999999,train
qmof-0e1877f,0.580857,train
qmof-1fe23f7,3.646966,train
qmof-4db34af,3.112947,train
qmof-c7ff037,3.169765,train
qmof-868b2eb,1.330433,train
qmof-d7ba091,1.50705,train
qmof-7a7e541,0.392395,test
qmof-88d81f2,0.752596,train
qmof-850a307,0.623449,train
qmof-e7d374d,1.4314969999999998,train
qmof-814bcff,3.142014,train
qmof-aa333f5,3.782711,train
qmof-6eee4dc,3.607444,train
qmof-71f1dac,3.346491,test
qmof-56a3cc3,2.806239,train
qmof-6c434d5,3.157609,test
qmof-e7503d8,0.5088769999999999,val
qmof-72352f8,2.578581,train
qmof-4063c99,2.456067,test
qmof-4a90838,0.686774,train
qmof-9b03351,3.76444,train
qmof-9ceb223,1.060773,train
qmof-292e1e6,3.542402,train
qmof-d54431e,3.238152,train
qmof-9c5c154,0.6538740000000001,train
qmof-75d4f07,0.772402,val
qmof-c80c803,3.874001,train
qmof-6e151eb,2.441578,train
qmof-afc4c90,2.416447,train
qmof-c422918,2.218181,train
